"Table 1.2 Occupational projections, 2023–33, and worker characteristics, 2023 (Numbers in thousands)",,,,,,,,,,,,,,,
2023 National Employment Matrix title,2023 National Employment Matrix code,Occupation type,"Employment, 2023","Employment, 2033","Employment distribution, percent, 2023","Employment distribution, percent, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Percent self employed, 2023","Occupational openings, 2023–33 annual average","Median annual wage, dollars, 2023[1]",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Related Occupational Outlook Handbook (OOH) content
"        Social work teachers, postsecondary",25-1113,Line item,15.1,15.7,0.0,0.0,0.5,3.6,—,1.2,"75,020",Doctoral or professional degree,None,None,OOH Content
"      Arts, communications, history, and humanities teachers, postsecondary",25-1120,Summary,310.9,317.3,0.2,0.2,6.4,2.1,0.3,23.9,"79,960",—,—,—,—
"        Art, drama, and music teachers, postsecondary",25-1121,Line item,127.4,130.9,0.1,0.1,3.5,2.7,0.3,9.9,"80,360",Master's degree,None,None,OOH Content
"        Communications teachers, postsecondary",25-1122,Line item,35.0,36.2,0.0,0.0,1.2,3.3,0.2,2.8,"79,910",Doctoral or professional degree,None,None,OOH Content
"        English language and literature teachers, postsecondary",25-1123,Line item,70.1,70.9,0.0,0.0,0.8,1.1,0.2,5.3,"78,130",Doctoral or professional degree,None,None,OOH Content
"        Foreign language and literature teachers, postsecondary",25-1124,Line item,26.1,26.4,0.0,0.0,0.3,1.0,0.3,2.0,"78,760",Doctoral or professional degree,None,None,OOH Content
"        History teachers, postsecondary",25-1125,Line item,25.8,26.0,0.0,0.0,0.2,0.9,0.2,1.9,"82,140",Doctoral or professional degree,None,None,OOH Content
"        Philosophy and religion teachers, postsecondary",25-1126,Line item,26.4,27.0,0.0,0.0,0.5,2.0,0.4,2.0,"79,930",Doctoral or professional degree,None,None,OOH Content
      Miscellaneous postsecondary teachers,25-1190,Summary,343.8,351.1,0.2,0.2,7.3,2.1,0.2,26.5,"71,800",—,—,—,—
"        Family and consumer sciences teachers, postsecondary",25-1192,Line item,3.3,3.5,0.0,0.0,0.1,4.3,—,0.3,"78,410",Doctoral or professional degree,None,None,OOH Content
"        Recreation and fitness studies teachers, postsecondary",25-1193,Line item,16.2,16.7,0.0,0.0,0.6,3.4,—,1.3,"75,770",Doctoral or professional degree,None,None,OOH Content
"        Career/technical education teachers, postsecondary",25-1194,Line item,121.8,121.9,0.1,0.1,0.1,0.1,0.4,9.0,"62,060",Bachelor's degree,Less than 5 years,None,OOH Content
"        Postsecondary teachers, all other",25-1199,Line item,202.5,209.0,0.1,0.1,6.5,3.2,0.2,15.9,"79,870",Doctoral or professional degree,None,None,—
"    Preschool, elementary, middle, secondary, and special education teachers",25-2000,Summary,"4,437.0","4,434.5",2.6,2.5,-2.5,-0.1,0.4,315.4,"63,280",—,—,—,—
      Preschool and kindergarten teachers,25-2010,Summary,651.2,673.6,0.4,0.4,22.4,3.4,0.8,74.7,"39,330",—,—,—,—
"        Preschool teachers, except special education",25-2011,Line item,528.5,551.8,0.3,0.3,23.3,4.4,1.0,61.4,"37,130",Associate's degree,None,None,OOH Content
"        Kindergarten teachers, except special education",25-2012,Line item,122.7,121.8,0.1,0.1,-0.8,-0.7,0.2,13.3,"62,690",Bachelor's degree,None,None,OOH Content
      Elementary and middle school teachers,25-2020,Summary,"2,093.2","2,077.7",1.2,1.2,-15.5,-0.7,0.4,135.4,"63,870",—,—,—,—
"        Elementary school teachers, except special education",25-2021,Line item,"1,441.0","1,430.4",0.9,0.8,-10.7,-0.7,0.4,93.2,"63,680",Bachelor's degree,None,None,OOH Content
"        Middle school teachers, except special and career/technical education",25-2022,Line item,640.0,635.3,0.4,0.4,-4.7,-0.7,0.5,41.4,"64,290",Bachelor's degree,None,None,OOH Content
"        Career/technical education teachers, middle school",25-2023,Line item,12.2,12.1,0.0,0.0,-0.1,-0.9,—,0.8,"63,860",Bachelor's degree,Less than 5 years,None,OOH Content
      Secondary school teachers,25-2030,Summary,"1,161.0","1,153.5",0.7,0.7,-7.6,-0.7,0.2,69.4,"65,210",—,—,—,—
"        Secondary school teachers, except special and career/technical education",25-2031,Line item,"1,071.4","1,064.5",0.6,0.6,-6.9,-0.6,0.2,64.0,"65,220",Bachelor's degree,None,None,OOH Content
"        Career/technical education teachers, secondary school",25-2032,Line item,89.6,88.9,0.1,0.1,-0.7,-0.8,—,5.3,"65,130",Bachelor's degree,Less than 5 years,None,OOH Content
      Special education teachers,25-2050,Summary,531.6,529.7,0.3,0.3,-1.9,-0.4,0.2,35.9,"65,910",—,—,—,—
"        Special education teachers, preschool",25-2051,Line item,25.7,26.1,0.0,0.0,0.4,1.6,0.8,1.8,"65,270",Bachelor's degree,None,None,OOH Content
"        Special education teachers, kindergarten and elementary school",25-2052,Line item,212.7,211.2,0.1,0.1,-1.6,-0.7,0.1,14.2,"64,910",Bachelor's degree,None,None,OOH Content
"        Special education teachers, middle school",25-2057,Line item,88.6,87.8,0.1,0.1,-0.8,-0.9,0.1,5.9,"66,600",Bachelor's degree,None,None,OOH Content
"        Special education teachers, secondary school",25-2058,Line item,159.5,158.6,0.1,0.1,-0.9,-0.6,0.2,10.7,"66,620",Bachelor's degree,None,None,OOH Content
"        Special education teachers, all other",25-2059,Line item,45.1,46.0,0.0,0.0,1.0,2.1,0.7,3.2,"67,190",Bachelor's degree,None,None,OOH Content
    Other teachers and instructors,25-3000,Summary,"1,223.7","1,250.3",0.7,0.7,26.6,2.2,10.7,160.6,"41,700",—,—,—,—
"      Adult basic education, adult secondary education, and english as a second language instructors",25-3011,Line item,41.7,36.4,0.0,0.0,-5.3,-12.7,5.9,4.1,"60,560",Bachelor's degree,None,None,OOH Content
      Self-enrichment teachers,25-3021,Line item,370.1,382.8,0.2,0.2,12.7,3.4,18.4,46.1,"45,330",High school diploma or equivalent,Less than 5 years,None,—
"      Substitute teachers, short-term",25-3031,Line item,473.3,489.2,0.3,0.3,15.9,3.4,5.2,58.9,"37,380",Bachelor's degree,None,None,—
      Tutors,25-3041,Line item,195.1,196.4,0.1,0.1,1.3,0.7,11.3,34.0,"39,580","Some college, no degree",None,None,OOH Content
"      Teachers and instructors, all other",25-3099,Line item,143.5,145.5,0.1,0.1,1.9,1.4,9.5,17.4,"64,390",Bachelor's degree,None,None,—
"    Librarians, curators, and archivists",25-4000,Summary,261.2,264.8,0.2,0.2,3.6,1.4,0.9,31.1,"55,460",—,—,—,—
"      Archivists, curators, and museum technicians",25-4010,Summary,37.5,41.5,0.0,0.0,4.0,10.7,6.1,4.7,"57,120",—,—,—,—
        Archivists,25-4011,Line item,8.8,9.5,0.0,0.0,0.7,8.0,5.3,1.1,"59,910",Master's degree,None,None,OOH Content
        Curators,25-4012,Line item,14.2,16.0,0.0,0.0,1.7,12.2,6.6,1.8,"61,750",Master's degree,None,None,OOH Content
        Museum technicians and conservators,25-4013,Line item,14.4,16.0,0.0,0.0,1.6,10.7,6.0,1.8,"48,670",Bachelor's degree,None,None,OOH Content
      Librarians and media collections specialists,25-4022,Line item,142.2,146.4,0.1,0.1,4.2,2.9,—,13.3,"64,370",Master's degree,None,None,OOH Content
      Library technicians,25-4031,Line item,81.5,77.0,0.0,0.0,-4.6,-5.6,—,13.2,"39,310",Postsecondary nondegree award,None,None,OOH Content
    Other educational instruction and library occupations,25-9000,Summary,"1,936.1","1,941.8",1.2,1.1,5.7,0.3,0.6,217.0,"37,330",—,—,—,—
      Farm and home management educators,25-9021,Line item,9.8,9.7,0.0,0.0,-0.2,-1.7,—,0.8,"59,770",Master's degree,None,None,—
      Instructional coordinators,25-9031,Line item,225.2,229.3,0.1,0.1,4.1,1.8,2.0,20.1,"74,620",Master's degree,5 years or more,None,OOH Content
      Teaching assistants,25-9040,Summary,"1,573.8","1,573.0",0.9,0.9,-0.8,0.0,0.3,184.7,"35,930",—,—,—,—
"        Teaching assistants, postsecondary",25-9044,Line item,184.6,192.1,0.1,0.1,7.4,4.0,0.3,22.9,"43,750",Bachelor's degree,None,None,—
"        Teaching assistants, except postsecondary",25-9045,Line item,"1,389.2","1,381.0",0.8,0.8,-8.2,-0.6,0.3,161.9,"35,550","Some college, no degree",None,None,OOH Content
"      Educational instruction and library workers, all other",25-9099,Line item,127.2,129.7,0.1,0.1,2.5,2.0,1.6,11.4,"49,800",Bachelor's degree,None,None,—
"  Arts, design, entertainment, sports, and media occupations",27-0000,Summary,"3,073.1","3,203.2",1.8,1.8,130.1,4.2,26.0,306.3,"58,920",—,—,—,—
    Art and design workers,27-1000,Summary,959.2,988.4,0.6,0.6,29.2,3.0,28.7,87.9,"51,660",—,—,—,—
      Artists and related workers,27-1010,Summary,253.9,265.5,0.2,0.2,11.6,4.6,58.3,23.3,"96,130",—,—,—,—
        Art directors,27-1011,Line item,126.6,133.2,0.1,0.1,6.6,5.2,58.9,11.7,"106,500",Bachelor's degree,5 years or more,None,OOH Content
        Craft artists,27-1012,Line item,14.3,14.6,0.0,0.0,0.3,2.2,59.8,1.3,"36,600",No formal educational credential,None,Long-term on-the-job training,OOH Content
"        Fine artists, including painters, sculptors, and illustrators",27-1013,Line item,26.3,27.4,0.0,0.0,1.1,4.0,59.1,2.4,"59,300",Bachelor's degree,None,Long-term on-the-job training,OOH Content
        Special effects artists and animators,27-1014,Line item,73.3,76.4,0.0,0.0,3.2,4.3,59.5,6.7,"99,060",Bachelor's degree,None,None,OOH Content
"        Artists and related workers, all other",27-1019,Line item,13.4,13.8,0.0,0.0,0.4,3.3,41.7,1.2,"74,750",No formal educational credential,None,Long-term on-the-job training,OOH Content
      Designers,27-1020,Summary,705.3,722.9,0.4,0.4,17.6,2.5,18.1,64.6,"47,670",—,—,—,—
        Commercial and industrial designers,27-1021,Line item,34.0,35.1,0.0,0.0,1.1,3.1,9.6,2.3,"76,250",Bachelor's degree,None,None,OOH Content
        Fashion designers,27-1022,Line item,21.9,22.9,0.0,0.0,1.0,4.7,9.2,2.1,"79,290",Bachelor's degree,None,None,OOH Content
        Floral designers,27-1023,Line item,53.7,48.1,0.0,0.0,-5.6,-10.4,18.1,5.6,"34,690",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
        Graphic designers,27-1024,Line item,267.2,273.8,0.2,0.2,6.6,2.5,18.2,21.1,"58,910",Bachelor's degree,None,None,OOH Content
        Interior designers,27-1025,Line item,92.2,95.9,0.1,0.1,3.7,4.0,27.0,8.8,"62,510",Bachelor's degree,None,None,OOH Content
        Merchandise displayers and window trimmers,27-1026,Line item,176.4,184.7,0.1,0.1,8.4,4.8,—,19.8,"36,230",High school diploma or equivalent,None,Short-term on-the-job training,—
        Set and exhibit designers,27-1027,Line item,29.6,31.1,0.0,0.0,1.5,5.1,63.8,2.4,"59,490",Bachelor's degree,None,None,OOH Content
"        Designers, all other",27-1029,Line item,30.4,31.3,0.0,0.0,0.9,3.0,66.1,2.4,"67,500",Bachelor's degree,None,None,—
"    Entertainers and performers, sports and related workers",27-2000,Summary,896.1,955.0,0.5,0.5,58.9,6.6,24.8,108.9,"53,360",—,—,—,—
"      Actors, producers, and directors",27-2010,Summary,244.0,261.0,0.1,0.1,17.0,7.0,10.1,22.6,"76,000",—,—,—,—
        Actors,27-2011,Line item,76.0,79.5,0.0,0.0,3.5,4.5,17.1,8.6,—,"Some college, no degree",None,Long-term on-the-job training,OOH Content
        Producers and directors,27-2012,Line item,167.9,181.5,0.1,0.1,13.5,8.0,6.9,13.9,"82,510",Bachelor's degree,Less than 5 years,None,OOH Content
"      Athletes, coaches, umpires, and related workers",27-2020,Summary,355.2,387.3,0.2,0.2,32.1,9.0,15.3,50.7,"45,860",—,—,—,—
        Athletes and sports competitors,27-2021,Line item,25.1,27.8,0.0,0.0,2.8,11.1,24.8,3.4,"70,280",No formal educational credential,None,Long-term on-the-job training,OOH Content
        Coaches and scouts,27-2022,Line item,307.1,334.0,0.2,0.2,26.9,8.8,13.4,41.8,"45,910",Bachelor's degree,None,None,OOH Content
"        Umpires, referees, and other sports officials",27-2023,Line item,23.1,25.5,0.0,0.0,2.4,10.4,30.4,5.5,"35,820",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Dancers and choreographers,27-2030,Summary,20.6,21.9,0.0,0.0,1.3,6.3,22.0,3.4,"51,900",—,—,—,—
        Dancers,27-2031,Line item,15.2,16.2,0.0,0.0,1.0,6.7,22.1,2.5,—,No formal educational credential,None,Long-term on-the-job training,OOH Content
        Choreographers,27-2032,Line item,5.4,5.7,0.0,0.0,0.3,5.3,21.5,0.9,"52,000",High school diploma or equivalent,5 years or more,Long-term on-the-job training,OOH Content
"      Musicians, singers, and related workers",27-2040,Summary,219.6,224.4,0.1,0.1,4.9,2.2,47.9,25.5,—,—,—,—,—
        Music directors and composers,27-2041,Line item,50.3,51.6,0.0,0.0,1.4,2.7,32.0,5.1,"62,590",Bachelor's degree,Less than 5 years,None,OOH Content
        Musicians and singers,27-2042,Line item,169.3,172.8,0.1,0.1,3.5,2.1,52.6,20.4,—,No formal educational credential,None,Long-term on-the-job training,OOH Content
"      Miscellaneous entertainers and performers, sports and related workers",27-2090,Summary,56.7,60.4,0.0,0.0,3.7,6.5,60.0,6.7,—,—,—,—,—
"        Disc jockeys, except radio",27-2091,Line item,21.0,22.1,0.0,0.0,1.1,5.1,65.6,2.0,—,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"        Entertainers and performers, sports and related workers, all other",27-2099,Line item,35.7,38.3,0.0,0.0,2.6,7.3,56.7,4.7,—,No formal educational credential,None,Short-term on-the-job training,—
    Media and communication workers,27-3000,Summary,821.9,850.5,0.5,0.5,28.6,3.5,19.3,74.7,"66,320",—,—,—,—
      Broadcast announcers and radio disc jockeys,27-3011,Line item,26.5,25.4,0.0,0.0,-1.1,-4.0,3.7,2.8,"44,890",Bachelor's degree,None,None,OOH Content
"      News analysts, reporters, and journalists",27-3023,Line item,49.8,48.4,0.0,0.0,-1.4,-2.7,11.3,4.5,"57,500",Bachelor's degree,None,None,OOH Content
      Public relations specialists,27-3031,Line item,308.0,327.2,0.2,0.2,19.2,6.2,1.1,27.1,"66,750",Bachelor's degree,None,None,OOH Content
      Writers and editors,27-3040,Summary,315.0,322.4,0.2,0.2,7.4,2.4,36.7,28.5,"76,020",—,—,—,—
        Editors,27-3041,Line item,114.2,111.9,0.1,0.1,-2.3,-2.0,13.6,9.3,"75,020",Bachelor's degree,Less than 5 years,None,OOH Content
        Technical writers,27-3042,Line item,50.1,52.1,0.0,0.0,2.0,4.0,2.0,4.1,"80,050",Bachelor's degree,Less than 5 years,Short-term on-the-job training,OOH Content
        Writers and authors,27-3043,Line item,150.7,158.4,0.1,0.1,7.7,5.1,65.9,15.1,"73,690",Bachelor's degree,None,Long-term on-the-job training,OOH Content
      Miscellaneous media and communication workers,27-3090,Summary,122.8,127.1,0.1,0.1,4.3,3.5,26.4,11.7,"60,440",—,—,—,—
        Interpreters and translators,27-3091,Line item,78.3,80.1,0.0,0.0,1.8,2.3,32.3,7.5,"57,090",Bachelor's degree,None,None,OOH Content
        Court reporters and simultaneous captioners,27-3092,Line item,17.5,17.9,0.0,0.0,0.3,1.8,26.4,1.6,"63,940",Postsecondary nondegree award,None,Short-term on-the-job training,OOH Content
"        Media and communication workers, all other",27-3099,Line item,27.0,29.1,0.0,0.0,2.2,8.0,9.4,2.6,"61,900",High school diploma or equivalent,None,Short-term on-the-job training,—
    Media and communication equipment workers,27-4000,Summary,395.9,409.3,0.2,0.2,13.5,3.4,36.3,34.8,"53,850",—,—,—,—
"      Broadcast, sound, and lighting technicians",27-4010,Summary,146.1,150.4,0.1,0.1,4.2,2.9,10.5,12.9,"54,160",—,—,—,—
        Audio and video technicians,27-4011,Line item,87.3,91.9,0.1,0.1,4.6,5.3,9.7,8.0,"51,640",Postsecondary nondegree award,None,Short-term on-the-job training,OOH Content
        Broadcast technicians,27-4012,Line item,30.0,30.0,0.0,0.0,0.0,0.1,11.7,2.5,"57,690",Associate's degree,None,Short-term on-the-job training,OOH Content
        Sound engineering technicians,27-4014,Line item,18.0,17.9,0.0,0.0,-0.1,-0.5,11.1,1.5,"59,430",Postsecondary nondegree award,None,Short-term on-the-job training,OOH Content
        Lighting technicians,27-4015,Line item,10.8,10.5,0.0,0.0,-0.3,-3.0,12.0,0.9,"62,240",Postsecondary nondegree award,None,Short-term on-the-job training,OOH Content
      Photographers,27-4021,Line item,151.1,156.9,0.1,0.1,5.8,3.9,65.1,13.7,"40,760",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"      Television, video, and film camera operators and editors",27-4030,Summary,85.4,88.3,0.1,0.1,2.9,3.4,34.4,7.1,"65,070",—,—,—,—
"        Camera operators, television, video, and film",27-4031,Line item,38.2,38.9,0.0,0.0,0.7,1.9,34.0,3.1,"61,800",Bachelor's degree,None,None,OOH Content
        Film and video editors,27-4032,Line item,47.2,49.4,0.0,0.0,2.2,4.7,34.7,4.0,"66,600",Bachelor's degree,None,None,OOH Content
"      Media and communication equipment workers, all other",27-4099,Line item,13.3,13.7,0.0,0.0,0.5,3.4,6.9,1.2,"71,340",High school diploma or equivalent,None,Short-term on-the-job training,—
  Healthcare practitioners and technical occupations,29-0000,Summary,"9,781.6","10,623.3",5.8,6.1,841.7,8.6,2.3,640.9,"80,820",—,—,—,—
    Healthcare diagnosing or treating practitioners,29-1000,Summary,"6,539.5","7,151.3",3.9,4.1,611.8,9.4,3.0,371.1,"98,760",—,—,—,—
      Chiropractors,29-1011,Line item,61.2,67.3,0.0,0.0,6.1,9.9,31.6,3.1,"76,530",Doctoral or professional degree,None,None,OOH Content
      Dentists,29-1020,Summary,160.6,167.9,0.1,0.1,7.3,4.6,12.9,4.9,"170,910",—,—,—,—
"        Dentists, general",29-1021,Line item,141.0,147.7,0.1,0.1,6.7,4.8,13.1,4.3,"166,300",Doctoral or professional degree,None,None,OOH Content
        Oral and maxillofacial surgeons,29-1022,Line item,4.8,5.0,0.0,0.0,0.2,3.3,13.1,0.1,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content
        Orthodontists,29-1023,Line item,7.4,7.7,0.0,0.0,0.3,3.7,13.3,0.2,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content
        Prosthodontists,29-1024,Line item,0.7,0.7,0.0,0.0,0.0,3.5,13.3,0.0,"234,000",Doctoral or professional degree,None,Internship/residency,OOH Content
"        Dentists, all other specialists",29-1029,Line item,6.7,6.9,0.0,0.0,0.2,2.3,8.4,0.2,"227,690",Doctoral or professional degree,None,Internship/residency,OOH Content
      Dietitians and nutritionists,29-1031,Line item,81.3,87.3,0.0,0.1,6.0,7.4,5.0,6.1,"69,680",Bachelor's degree,None,Internship/residency,OOH Content
      Optometrists,29-1041,Line item,49.3,53.6,0.0,0.0,4.3,8.7,15.6,2.2,"131,860",Doctoral or professional degree,None,None,OOH Content
      Pharmacists,29-1051,Line item,337.7,355.9,0.2,0.2,18.3,5.4,0.3,14.2,"136,030",Doctoral or professional degree,None,None,OOH Content
      Physician assistants,29-1071,Line item,153.4,197.1,0.1,0.1,43.7,28.5,2.0,12.9,"130,020",Master's degree,None,None,OOH Content
      Podiatrists,29-1081,Line item,9.7,9.8,0.0,0.0,0.1,1.4,—,0.3,"141,650",Doctoral or professional degree,None,Internship/residency,OOH Content
      Therapists,29-1120,Summary,822.8,935.7,0.5,0.5,112.9,13.7,6.9,52.4,"90,400",—,—,—,—
        Occupational therapists,29-1122,Line item,150.5,167.3,0.1,0.1,16.8,11.1,0.7,9.8,"96,370",Master's degree,None,None,OOH Content
        Physical therapists,29-1123,Line item,259.2,296.0,0.2,0.2,36.8,14.2,4.1,13.6,"99,710",Doctoral or professional degree,None,None,OOH Content
        Radiation therapists,29-1124,Line item,17.2,17.7,0.0,0.0,0.5,3.1,—,0.8,"98,300",Associate's degree,None,None,OOH Content
        Recreational therapists,29-1125,Line item,16.6,17.3,0.0,0.0,0.7,4.3,—,1.4,"57,120",Bachelor's degree,None,None,OOH Content
        Respiratory therapists,29-1126,Line item,133.9,151.4,0.1,0.1,17.5,13.1,—,8.2,"77,960",Associate's degree,None,None,OOH Content
        Speech-language pathologists,29-1127,Line item,180.8,214.1,0.1,0.1,33.3,18.4,3.2,13.7,"89,290",Master's degree,None,Internship/residency,OOH Content
        Exercise physiologists,29-1128,Line item,21.5,23.7,0.0,0.0,2.2,10.4,61.3,1.6,"54,860",Bachelor's degree,None,None,OOH Content
"        Therapists, all other",29-1129,Line item,43.2,48.3,0.0,0.0,5.1,11.8,60.5,3.3,"63,650",Bachelor's degree,None,None,—
      Veterinarians,29-1131,Line item,88.2,105.0,0.1,0.1,16.8,19.1,10.0,4.3,"119,100",Doctoral or professional degree,None,None,OOH Content
      Registered nurses,29-1141,Line item,"3,300.1","3,497.3",2.0,2.0,197.2,6.0,0.5,194.5,"86,070",Bachelor's degree,None,None,OOH Content
      Nurse anesthetists,29-1151,Line item,49.9,55.1,0.0,0.0,5.2,10.4,1.3,2.4,"212,650",Master's degree,None,None,OOH Content
      Nurse midwives,29-1161,Line item,7.2,7.7,0.0,0.0,0.5,7.1,1.1,0.4,"129,650",Master's degree,None,None,OOH Content
      Nurse practitioners,29-1171,Line item,292.5,427.9,0.2,0.2,135.5,46.3,1.1,29.0,"126,260",Master's degree,None,None,OOH Content
      Audiologists,29-1181,Line item,14.4,16.0,0.0,0.0,1.6,10.9,1.5,0.8,"87,740",Doctoral or professional degree,None,None,OOH Content
      Physicians,29-1210,Summary,776.5,808.5,0.5,0.5,32.0,4.1,3.9,22.1,">=$239,200",—,—,—,—
        Anesthesiologists,29-1211,Line item,36.1,37.6,0.0,0.0,1.5,4.0,4.3,1.0,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content
        Cardiologists,29-1212,Line item,16.4,17.2,0.0,0.0,0.8,5.0,4.3,0.5,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content
        Dermatologists,29-1213,Line item,13.0,13.9,0.0,0.0,0.9,7.1,4.5,0.4,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content
        Emergency medicine physicians,29-1214,Line item,37.6,39.0,0.0,0.0,1.3,3.5,4.2,1.0,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content
        Family medicine physicians,29-1215,Line item,120.3,126.1,0.1,0.1,5.7,4.8,4.1,3.5,"224,640",Doctoral or professional degree,None,Internship/residency,OOH Content
        General internal medicine physicians,29-1216,Line item,73.8,76.3,0.0,0.0,2.5,3.4,4.0,2.0,"223,310",Doctoral or professional degree,None,Internship/residency,OOH Content
        Neurologists,29-1217,Line item,10.1,10.8,0.0,0.0,0.7,6.8,4.3,0.3,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content
        Obstetricians and gynecologists,29-1218,Line item,21.3,22.0,0.0,0.0,0.7,3.3,4.3,0.6,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content
"        Pediatricians, general",29-1221,Line item,37.7,38.5,0.0,0.0,0.8,2.1,4.2,1.0,"198,690",Doctoral or professional degree,None,Internship/residency,OOH Content
"        Physicians, pathologists",29-1222,Line item,11.8,12.5,0.0,0.0,0.6,5.5,4.0,0.4,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content
        Psychiatrists,29-1223,Line item,27.0,29.1,0.0,0.0,2.1,7.6,3.5,0.9,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content
        Radiologists,29-1224,Line item,34.3,35.6,0.0,0.0,1.2,3.6,4.3,1.0,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content
"        Physicians, all other",29-1229,Line item,337.0,350.1,0.2,0.2,13.1,3.9,3.6,9.5,"236,000",Doctoral or professional degree,None,Internship/residency,OOH Content
      Surgeons,29-1240,Summary,58.0,60.5,0.0,0.0,2.5,4.3,3.9,1.5,">=$239,200",—,—,—,—
"        Ophthalmologists, except pediatric",29-1241,Line item,12.4,12.9,0.0,0.0,0.6,4.5,4.1,0.3,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content
"        Orthopedic surgeons, except pediatric",29-1242,Line item,16.0,16.6,0.0,0.0,0.7,4.2,4.0,0.4,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content
        Pediatric surgeons,29-1243,Line item,1.3,1.3,0.0,0.0,0.0,2.0,4.0,0.0,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content
"        Surgeons, all other",29-1249,Line item,28.4,29.6,0.0,0.0,1.2,4.3,3.8,0.7,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content
      Miscellaneous healthcare diagnosing or treating practitioners,29-1290,Summary,276.6,298.5,0.2,0.2,21.9,7.9,7.6,20.0,"89,260",—,—,—,—
        Acupuncturists,29-1291,Line item,22.1,23.3,0.0,0.0,1.2,5.5,56.7,1.3,"78,220",Master's degree,None,None,—
        Dental hygienists,29-1292,Line item,214.1,233.7,0.1,0.1,19.6,9.2,0.6,16.4,"87,530",Associate's degree,None,None,OOH Content
"        Healthcare diagnosing or treating practitioners, all other",29-1299,Line item,40.4,41.5,0.0,0.0,1.0,2.6,17.6,2.3,"107,990",Master's degree,None,None,—
    Health technologists and technicians,29-2000,Summary,"3,102.1","3,316.8",1.8,1.9,214.8,6.9,0.5,259.3,"51,250",—,—,—,—
      Clinical laboratory technologists and technicians,29-2010,Line item,344.2,362.5,0.2,0.2,18.2,5.3,—,24.2,"60,780",Bachelor's degree,None,None,OOH Content
      Diagnostic related technologists and technicians,29-2030,Summary,436.6,468.6,0.3,0.3,32.0,7.3,1.0,26.5,"78,330",—,—,—,—
        Cardiovascular technologists and technicians,29-2031,Line item,58.4,60.9,0.0,0.0,2.4,4.2,2.1,3.7,"66,170",Associate's degree,None,None,OOH Content
        Diagnostic medical sonographers,29-2032,Line item,84.9,97.7,0.1,0.1,12.8,15.1,0.2,5.7,"84,470",Associate's degree,None,None,OOH Content
        Nuclear medicine technologists,29-2033,Line item,17.8,17.6,0.0,0.0,-0.2,-1.3,4.5,0.8,"92,500",Associate's degree,None,None,OOH Content
        Radiologic technologists and technicians,29-2034,Line item,227.8,241.0,0.1,0.1,13.1,5.8,0.4,13.3,"73,410",Associate's degree,None,None,OOH Content
        Magnetic resonance imaging technologists,29-2035,Line item,43.4,47.0,0.0,0.0,3.6,8.4,2.6,2.7,"83,740",Associate's degree,Less than 5 years,None,OOH Content
        Medical dosimetrists,29-2036,Line item,4.2,4.5,0.0,0.0,0.2,5.4,4.5,0.2,"132,880",Bachelor's degree,None,None,OOH Content
      Emergency medical technicians and paramedics,29-2040,Summary,270.4,286.6,0.2,0.2,16.2,6.0,0.2,19.2,"44,780",—,—,—,—
        Emergency medical technicians,29-2042,Line item,169.7,180.0,0.1,0.1,10.3,6.1,0.2,13.9,"38,930",Postsecondary nondegree award,None,None,OOH Content
        Paramedics,29-2043,Line item,100.6,106.5,0.1,0.1,5.9,5.9,0.2,5.3,"53,180",Postsecondary nondegree award,Less than 5 years,None,OOH Content
      Health practitioner support technologists and technicians,29-2050,Summary,926.8,"1,023.8",0.6,0.6,97.0,10.5,0.2,97.0,"43,130",—,—,—,—
        Dietetic technicians,29-2051,Line item,25.0,26.1,0.0,0.0,1.1,4.3,—,3.2,"36,520",Associate's degree,None,None,—
        Pharmacy technicians,29-2052,Line item,463.9,497.2,0.3,0.3,33.3,7.2,—,47.4,"40,300",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
        Psychiatric technicians,29-2053,Line item,124.6,145.8,0.1,0.1,21.3,17.1,1.1,13.2,"39,700",Postsecondary nondegree award,Less than 5 years,Short-term on-the-job training,OOH Content
        Surgical technologists,29-2055,Line item,112.8,119.3,0.1,0.1,6.5,5.8,—,7.2,"60,610",Postsecondary nondegree award,None,None,OOH Content
